Alloy,Phase
Mn0.5V0.5,BCC
Mn0.6V0.4,BCC
Mn0.7V0.3,BCC
Mo0.25Nb0.75,BCC
Mo0.25Ta0.75,BCC
Mo0.25Ti0.75,BCC
Mo0.25V0.75,BCC
Mo0.25W0.75,BCC
Mo0.5Nb0.5,BCC
Mo0.5Ta0.5,BCC
Mo0.5Ti0.5,BCC
Mo0.5V0.5,BCC
Mo0.5W0.5,BCC
Mo0.75Nb0.25,BCC
Mo0.75Re0.25,BCC
Mo0.75Ta0.25,BCC
Mo0.75Ti0.25,BCC
Mo0.75V0.25,BCC
Mo0.75W0.25,BCC
Mo0.7Tc0.3,BCC
Mo0.8Tc0.2,BCC
Mo0.95Os0.05,BCC
Mo0.95Rh0.05,BCC
Mo0.98Pd0.02,BCC
Mo0.9Re0.1,BCC
Mo0.9Ru0.1,BCC
Mo0.9Tc0.1,BCC
Mo1Nb1Re1Ta1Ti1V1W1,BCC
Mo1Nb1Re1Ta1V1W1,BCC
Mo1Nb1Re1Ta1W1,BCC
Mo1Nb1Ta1Ti1V1,BCC
Mo1Nb1Ta1Ti1V1W1,BCC
Mo1Nb1Ta1V1,BCC
Mo1Nb1Ta1V1W1,BCC
Mo1Nb1Ta1W1,BCC
Mo1Nb1Ti1V1Zr1,BCC
Mo21.7NBCC0.6Ta15.6V21W21.1,BCC
Mo25.6NBCC2.7Ta24.4W27.3,BCC
Nb0.25Ta0.75,BCC
Nb0.25Ti0.75,BCC
Nb0.25W0.75,BCC
Nb0.25Zr0.75,BCC
Nb0.5Ta0.5,BCC
Nb0.5Ti0.5,BCC
Nb0.5W0.5,BCC
Nb0.5Zr0.5,BCC
Nb0.65Ru0.35,BCC
Nb0.6Re0.4,BCC
Nb0.75Re0.25,BCC
Nb0.75Ta0.25,BCC
Nb0.75Ti0.25,BCC
Nb0.75W0.25,BCC
Nb0.75Zr0.25,BCC
Nb0.8Pd0.2,BCC
Nb0.9Os0.1,BCC
Nb0.9Pd0.1,BCC
Nb0.9Re0.1,BCC
Nb0.9Rh0.1,BCC
Nb0.9Ru0.1,BCC
Nb1Re1Ta1Ti1V1,BCC
Nb1Ta1Ti1V1,BCC
Nb1Ta1Ti1V1W1,BCC
Nb1Ta1V1W1,BCC
Nb1Ti1V1Zr1,BCC
Nd0.25Th0.75,BCC
Nd0.5Th0.5,BCC
Nd0.75Th0.25,BCC
Os0.05W0.95,BCC
Os0.15Ta0.85,BCC
Os0.15Ti0.85,BCC
Pd0.1V0.9,BCC
Pd0.2V0.8,BCC
Pr0.25Th0.75,BCC
Pr0.5Th0.5,BCC
Pr0.75Th0.25,BCC
Pt0.05V0.95,BCC
Pu0.25Sc0.75,BCC
Pu0.25Zr0.75,BCC
Pu0.5Sc0.5,BCC
Pu0.5Zr0.5,BCC
Pu0.75Sc0.25,BCC
Pu0.75Zr0.25,BCC
Re0.1Ta0.9,BCC
Re0.1Ti0.9,BCC
Re0.1V0.9,BCC
Re0.1W0.9,BCC
Re0.25Ti0.75,BCC
Re0.25V0.75,BCC
Re0.25W0.75,BCC
Re0.2Ta0.8,BCC
Re0.4Ta0.6,BCC
Re0.4Ti0.6,BCC
Re0.5V0.5,BCC
Rh0.15Ti0.85,BCC
Rh0.1Ta0.9,BCC
Rh0.1V0.9,BCC
Ru0.1Ta0.9,BCC
Ru0.1Ti0.9,BCC
Ru0.1W0.9,BCC
Ru0.2Ta0.8,BCC
Ru0.2Ti0.8,BCC
Ru0.2W0.8,BCC
Sc0.25Th0.75,BCC
Sc0.25Ti0.75,BCC
Sc0.25Y0.75,BCC
Sc0.2Zr0.8,BCC
Sc0.4Zr0.6,BCC
Sc0.5Th0.5,BCC
Sc0.5Ti0.5,BCC
Sc0.5Y0.5,BCC
Sc0.75Th0.25,BCC
Sc0.75Ti0.25,BCC
Sc0.75Y0.25,BCC
Sm0.25Y0.75,BCC
Sm0.5Y0.5,BCC
Sm0.75Y0.25,BCC
Ta0.25Ti0.75,BCC
Ta0.25V0.75,BCC
Ta0.25W0.75,BCC
Ta0.25Zr0.75,BCC
Ta0.5Ti0.5,BCC
Ta0.5V0.5,BCC
Ta0.5W0.5,BCC
Ta0.5Zr0.5,BCC
Ta0.75Ti0.25,BCC
Ta0.75V0.25,BCC
Ta0.75W0.25,BCC
Ta0.75Zr0.25,BCC
Tb0.25Th0.75,BCC
Tb0.25Y0.75,BCC
Tb0.5Th0.5,BCC
Tb0.5Y0.5,BCC
Tb0.75Th0.25,BCC
